Scheme Name,wkt_geometry
Bideford to Westward Ho! Cycle Route (Kenwith Valley Trail),"POLYGON((-4.200983 51.016509, -4.201334 51.015727, -4.205539 51.016564, -4.204466 51.020357, -4.207335 51.020855, -4.207385 51.02029, -4.210725 51.021057, -4.210746 51.021908, -4.218943 51.022826, -4.228778 51.022422, -4.23362 51.022866, -4.237576 51.023691, -4.242854 51.025351, -4.25266 51.026971, -4.256773 51.027887, -4.263296 51.02929, -4.265034 51.031261, -4.258111 51.037078, -4.253082 51.039478, -4.239564 51.040908, -4.23789 51.041934, -4.217763 51.045117, -4.216862 51.044038, -4.236388 51.041232, -4.23789 51.040099, -4.252353 51.038561, -4.256902 51.036375, -4.263124 51.031274, -4.262094 51.029763, -4.256172 51.028737, -4.252267 51.028008, -4.242353 51.026335, -4.236989 51.024688, -4.233084 51.02377, -4.228492 51.023419, -4.218493 51.023851, -4.209695 51.022772, -4.209094 51.021638, -4.206991 51.021692, -4.206877 51.021938, -4.203215 51.021233, -4.204202 51.017102, -4.200983 51.016509))"
Clovelly Road Corridor,"POLYGON((-4.242584 51.009151, -4.242627 51.008948, -4.240082 51.008628, -4.2385 51.008453, -4.236351 51.008334, -4.236351 51.008493, -4.238491 51.008631, -4.240052 51.008817, -4.242584 51.009151))"
Landkey to Newport,"POLYGON((-4.046284 51.071498, -4.043548 51.070547, -4.04277 51.07022, -4.042492 51.070038, -4.04202 51.069647, -4.040984 51.068814, -4.04033 51.068228, -4.040018 51.067955, -4.039573 51.067382, -4.039348 51.067035, -4.039166 51.066859, -4.038833 51.06663, -4.039144 51.066461, -4.039471 51.066748, -4.039782 51.067072, -4.040142 51.067496, -4.04048 51.067891, -4.041182 51.068541, -4.041976 51.069151, -4.042867 51.069944, -4.043419 51.070166, -4.044256 51.070493, -4.045447 51.070914, -4.046456 51.071305, -4.046284 51.071498))"
Longbridge Junction Improvements,"POLYGON((-4.060891 51.077083, -4.060459 51.076908, -4.060678 51.076712, -4.060528 51.076614, -4.060752 51.076398, -4.061188 51.076571, -4.06144 51.076416, -4.061483 51.076304, -4.06158 51.076224, -4.061628 51.075924, -4.061687 51.075735, -4.061767 51.075647, -4.061885 51.07558, -4.061982 51.075479, -4.062229 51.075593, -4.061966 51.075799, -4.061848 51.075977, -4.061885 51.076122, -4.061987 51.07622, -4.062138 51.076294, -4.062207 51.076426, -4.062079 51.076594, -4.06168 51.076729, -4.06124 51.076928, -4.060891 51.077083))"
Appledore to Bideford,"POLYGON((-4.197078 51.057338, -4.195833 51.056704, -4.195154 51.05645, -4.194553 51.055978, -4.194059 51.055614, -4.193759 51.055452, -4.193072 51.0556, -4.19245 51.055007, -4.192171 51.054818, -4.191399 51.054764, -4.190991 51.054737, -4.190519 51.054467, -4.190304 51.054143, -4.190412 51.053402, -4.190347 51.052903, -4.190283 51.052525, -4.190197 51.052066, -4.190369 51.051729, -4.192128 51.0515, -4.19157 51.051095, -4.191356 51.05069, -4.191291 51.050205, -4.191227 51.049922, -4.191184 51.049449, -4.19127 51.049126, -4.191334 51.048842, -4.191356 51.048559, -4.191291 51.048141, -4.191098 51.047763, -4.190927 51.047453, -4.190798 51.047183, -4.190819 51.046886, -4.190991 51.04663, -4.191206 51.046374, -4.191356 51.046131, -4.191613 51.045875, -4.192042 51.045672, -4.192343 51.045591, -4.193094 51.04551, -4.193802 51.04547, -4.194875 51.045483, -4.195862 51.045605, -4.196634 51.045618, -4.197171 51.045591, -4.198351 51.045726, -4.199696 51.045792, -4.200926 51.045807, -4.201527 51.045794, -4.2026 51.044714, -4.203758 51.044013, -4.204574 51.043028, -4.204895 51.042043, -4.205153 51.041382, -4.205883 51.041045, -4.206784 51.040964, -4.207599 51.040761, -4.208286 51.040411, -4.208758 51.04006, -4.209144 51.039426, -4.209616 51.038724, -4.210217 51.038211, -4.210947 51.037834, -4.211612 51.037537, -4.212191 51.03697, -4.212599 51.036457, -4.212685 51.036107, -4.212492 51.03554, -4.212363 51.034676, -4.212084 51.033772, -4.211783 51.03303, -4.211762 51.032396, -4.211891 51.031708, -4.210961 51.031625, -4.209788 51.031586, -4.208629 51.031586, -4.207706 51.031586, -4.206376 51.031613, -4.204895 51.031667, -4.203951 51.031397, -4.203737 51.031006, -4.203458 51.030318, -4.203372 51.029751, -4.203286 51.0294, -4.202843 51.027445, -4.202228 51.024715, -4.202585 51.022694, -4.202757 51.021398, -4.203944 51.018506, -4.204288 51.016428, -4.205918 51.016536, -4.205275 51.018857, -4.207506 51.018992, -4.209323 51.019293, -4.211211 51.019887, -4.212155 51.021425, -4.213142 51.022613, -4.214301 51.023801, -4.215288 51.025771, -4.215159 51.027661, -4.214816 51.029496, -4.214516 51.031358, -4.214301 51.033275, -4.214644 51.034948, -4.215589 51.036513, -4.216704 51.037997, -4.217305 51.039481, -4.217906 51.041883, -4.218764 51.043826, -4.219866 51.045657, -4.217477 51.046713, -4.215417 51.046982, -4.213872 51.046497, -4.212155 51.046497, -4.210725 51.047087, -4.20948 51.048895, -4.207821 51.050948, -4.206208 51.052685, -4.205103 51.053859, -4.203107 51.054654, -4.201183 51.056045, -4.199338 51.057273, -4.197078 51.057338))"
"Barnstaple, Bideford, Northam LCWIP","POLYGON((-4.094009 51.090208, -4.048004 51.10142, -4.014359 51.070365, -4.08371 51.056124, -4.168854 51.00344, -4.252625 50.999983, -4.240036 51.059955, -4.094009 51.090208))"
Braunton Road Bus Lane and Bus Gate,"POLYGON((-4.076947 51.087216, -4.077365 51.086899, -4.075205 51.085993, -4.073687 51.085619, -4.072577 51.085292, -4.07236 51.085612, -4.073558 51.086037, -4.074941 51.086384, -4.075997 51.086775, -4.076947 51.087216))"
Barnstaple Train Station Forecourt Improvements,"POLYGON((-4.065308 51.074653, -4.065077 51.074687, -4.064804 51.074626, -4.064702 51.074565, -4.064562 51.074471, -4.064487 51.074441, -4.06438 51.074434, -4.064265 51.074491, -4.064158 51.074548, -4.064067 51.074561, -4.063933 51.074578, -4.062903 51.074053, -4.062696 51.073945, -4.062731 51.07379, -4.062642 51.073696, -4.06254 51.073601, -4.062452 51.07353, -4.062529 51.073436, -4.0633 51.073867, -4.063205 51.073955, -4.063715 51.074238, -4.064153 51.073938, -4.064861 51.074211, -4.065349 51.074602, -4.065308 51.074653))"
Ogwell to Newton Abbot cycle route Phase 2abc,"POLYGON((-3.621036 50.52428, -3.620789 50.524137, -3.619684 50.525146, -3.620081 50.525487, -3.620285 50.525317, -3.619974 50.525132, -3.621036 50.52428))"
"Indio Road Vehicle and Access Lane Modal Filter, Bovey Tracey","POLYGON((-3.676967 50.589797, -3.676584 50.589742, -3.676777 50.589272, -3.677174 50.589347, -3.676967 50.589797))"
Ogwell to Newton Abbot cycle route Phase 2d,"POLYGON((-3.621186 50.523843, -3.620532 50.523659, -3.620918 50.522663, -3.621991 50.523045, -3.621787 50.523277, -3.621143 50.523079, -3.620993 50.523427, -3.621411 50.523666, -3.621186 50.523843))"
Teignbridge LCWIP,"POLYGON((-3.421841 50.613535, -3.445444 50.63047, -3.460693 50.676011, -3.481579 50.688744, -3.501434 50.694558, -3.507671 50.691294, -3.538656 50.692876, -3.544736 50.701544, -3.55206 50.70502, -3.563232 50.70717, -3.565936 50.724099, -3.569555 50.744772, -3.628407 50.756007, -3.672037 50.763723, -3.679676 50.749497, -3.708258 50.748574, -3.724651 50.727607, -3.73744 50.723097, -3.72448 50.715435, -3.735552 50.70326, -3.732033 50.697008, -3.809109 50.693583, -3.807564 50.682218, -3.797178 50.675039, -3.805389 50.656589, -3.843012 50.646855, -3.87208 50.614944, -3.883181 50.595286, -3.8764 50.575231, -3.875141 50.543558, -3.874283 50.534285, -3.844242 50.53363, -3.824158 50.515732, -3.802185 50.53614, -3.797894 50.520644, -3.776608 50.495862, -3.791485 50.49432, -3.796864 50.489419, -3.792572 50.477732, -3.774033 50.463091, -3.75864 50.469422, -3.757439 50.474884, -3.767824 50.481767, -3.767138 50.491378, -3.765335 50.495419, -3.768997 50.504093, -3.756065 50.510541, -3.736067 50.505628, -3.718386 50.492634, -3.712034 50.481876, -3.670979 50.464553, -3.653669 50.471279, -3.626976 50.465871, -3.613243 50.46964, -3.609638 50.48264, -3.597364 50.483842, -3.584232 50.477179, -3.568239 50.492627, -3.54455 50.497432, -3.520632 50.517199, -3.509045 50.516326, -3.495655 50.539624, -3.476486 50.559633, -3.475742 50.55964, -3.467131 50.561868, -3.464127 50.577677, -3.442755 50.591138, -3.421841 50.613535))"
Freeport Langage Access Road Phase 1b,"POLYGON((-4.017198 50.381419, -4.016969 50.380094, -4.009023 50.380133, -4.009259 50.384101, -4.012012 50.383925, -4.011533 50.382268, -4.017198 50.381419))"
