wkt_geom,UniqueID
"MultiLineString ((-3.4873781676924378 50.90511336544586385, -3.48737946770635432 50.90508326544278361, -3.48738506775436674 50.90497966543212982),(-3.48738506775436674 50.90497966543212982, -3.4873910678089679 50.90486196542003938, -3.487390267823403 50.90483086541694746),(-3.487390267823403 50.90483086541694746, -3.48738876789473284 50.90467706540147219),(-3.48738876789473284 50.90467706540147219, -3.4873876679117437 50.90464036539779613, -3.48739156793175331 50.90459736539333591, -3.48740736794989603 50.90455906538893771),(-3.48740736794989603 50.90455906538893771, -3.48742646796646794 50.90452436538483028, -3.48745216798159063 50.90449336538083713),(-3.48745216798159063 50.90449336538083713, -3.48747236799560323 50.9044645653772676, -3.48749086801182973 50.90443106537328077),(-3.48749086801182973 50.90443106537328077, -3.48750196803036339 50.90439226536899753, -3.48750446807408521 50.90429946535954997),(-3.48750446807408521 50.90429946535954997, -3.48750286808900345 50.90426756535637054, -3.48750426810904957 50.90422506535204406, -3.48757256814007244 50.90416536534377201, -3.48759456814829294 50.90415006534153974, -3.487617668154956 50.90413826533956154),(-3.487617668154956 50.90413826533956154, -3.48765066817351821 50.90410246533486571, -3.48765746820421629 50.90403896532824035, -3.48765066822730585 50.90398996532352527),(-3.48765066822730585 50.90398996532352527, -3.48748966824930173 50.90392496532226119),(-3.48748966824930173 50.90392496532226119, -3.48739746849879939 50.9033764652699503, -3.48746736858047157 50.90321476525136291),(-3.48746736858047157 50.90321476525136291, -3.48762026859426122 50.90321616524651915),(-3.48762026859426122 50.90321616524651915, -3.48775936861496083 50.90320056524039671, -3.4879123686464828 50.90316606523192178, -3.48786786876047739 50.90292446520903979))",Speed Limits-858
"MultiLineString ((-3.32276457760081945 50.93513996708285418, -3.32291547754182215 50.93514376711173242, -3.3230915775148091 50.93509336713870539, -3.32338187748968084 50.93497926717786584, -3.32362277746505486 50.93488366720875149, -3.32375607744752477 50.93483386722571282, -3.32394777746213865 50.93470116724027008, -3.32408307745406084 50.93463076725321059, -3.32419327744338888 50.93457776726400255, -3.32433007741997599 50.93452536727906477, -3.32449097738820099 50.93446786729690245, -3.32458687738489767 50.93440746730284019, -3.32466367739961033 50.93433006730242596, -3.32471087744136984 50.93422876729280091, -3.32473627750083489 50.9341136672770034, -3.32476587759809394 50.93393286725031288, -3.32479807763861279 50.93383996724320184, -3.32483567765441101 50.93377996725276802, -3.32486857766191513 50.93373926726033574, -3.32494427766067702 50.93367936727548795, -3.32505427764313621 50.93362186729540753, -3.32526607758613491 50.93355506733077931, -3.32538277755039458 50.9335271673496095, -3.32560537745902973 50.93351286738307948, -3.32574087737810986 50.93354326740123383, -3.32599837716646363 50.93368276743149181))",Speed Limits-859
"MultiLineString ((-3.49405066462918423 50.90912106572070428, -3.49421586462939482 50.90924226577484291),(-3.49389706462995031 50.90899986566681434, -3.49405066462918423 50.90912106572070428),(-3.49371036463762596 50.90886476560803686, -3.49389706462995031 50.90899986566681434),(-3.49359306472784192 50.90877356560046962, -3.49371036463762596 50.90886476560803686),(-3.49353646477472735 50.90872906559803823, -3.49359306472784192 50.90877356560046962),(-3.49345196483489495 50.90867446559557408, -3.49353646477472735 50.90872906559803823),(-3.4934009648676172 50.90864576559449972, -3.49345196483489495 50.90867446559557408))",Speed Limits-866
"MultiLineString ((-3.48035627470490061 50.92841997079199245, -3.48047377473568442 50.92828637082995868, -3.48055717475951099 50.92819937085402415),(-3.48055717475951099 50.92819937085402415, -3.48067667481565524 50.92813147086353354, -3.48090637492462829 50.92800997087923065, -3.48112227501960891 50.92788637090025361, -3.48122247505523053 50.92781277091839343, -3.48133027504932757 50.92763927098375376, -3.48141647500708951 50.9274231710743166, -3.48149937497149509 50.9272308711551247, -3.48150067491972548 50.9271185712095118, -3.48144377481639733 50.92697437128731508, -3.48142937477680503 50.92690857132109272, -3.48144167477095268 50.926879471333514),(-3.48144167477095268 50.926879471333514, -3.48149067478297836 50.92683997134618323, -3.48155917481401156 50.92681567134905407, -3.48170187487806482 50.92676537135523773, -3.48182427491115121 50.92667897138245792, -3.48188837491684566 50.92661127140826949, -3.48195037489536308 50.92649247146026426, -3.48201147486877138 50.9263664715165163, -3.48205537477813509 50.92613507162851505, -3.4820560746794369 50.92593837172790217, -3.4820548745992892 50.92578057180782736, -3.48207647450703828 50.9255742719102642, -3.48212417443052358 50.92546477190877852, -3.48217567440267795 50.92542287188771155, -3.48223907436771762 50.92537137186192098, -3.48241487436028985 50.92529857181862241, -3.48274847436645318 50.92518197174583605, -3.48294797433449865 50.92509077169449228, -3.48315727425537736 50.92496737163039455, -3.48334857412730381 50.92482107155960591, -3.48347977397916164 50.92468337149720981, -3.48355587389106214 50.92460357146129013, -3.48377587354919793 50.92432227133923561, -3.48390977321152517 50.92407307123645666, -3.48403837280456763 50.92378667112099322, -3.48409787249354386 50.92357867103971358, -3.48413927224962094 50.92341787097737438, -3.48416577181777409 50.92314207087316902, -3.48418407154025234 50.92296537080643049, -3.48420267136108164 50.92285087076294303, -3.48426107111970218 50.92269417070200177, -3.48433157092384116 50.92256637065148794, -3.48468437024903155 50.92210637038668608, -3.4849600697594858 50.92174037009667131, -3.48509546951162008 50.92155536996401111),(-3.48509546951162008 50.92155536996401111, -3.48528976921803224 50.92132716979647711, -3.48551156885844415 50.92105066961823212, -3.48568786856025481 50.92082246948822188, -3.48575806846067282 50.92074316944199097, -3.48581646839784343 50.92068946940699448, -3.48583366838687514 50.92067826939763364))",Speed Limits-919
"MultiLineString ((-3.48676087239788668 50.9229291690679986, -3.48691367235347105 50.92286496894952563, -3.48692577233098522 50.92284806894019056, -3.48692307224427278 50.92279476894191959, -3.48683597199845607 50.92266286900491679, -3.48671457165222298 50.9224771690868252, -3.48654937124743469 50.92226626918980514, -3.48641387099305922 50.9221418692704404, -3.48620727066167335 50.92198766938753351, -3.48605127041976948 50.92187676947032315),(-3.48605127041976948 50.92187676947032315, -3.48595427030598648 50.92183056952259079, -3.48576547012220539 50.92176406962470736, -3.48546566986706674 50.9216814697842679, -3.4851993696057999 50.92158726991406326, -3.48509546951162008 50.92155536996401111))",Speed Limits-920
"MultiLineString ((-3.4857327687273596 50.90238576522381919, -3.48563886868369321 50.90246856523527441),(-3.48577266874879577 50.90234366521826814, -3.4857327687273596 50.90238576522381919),(-3.48629896904698766 50.90179146514532249, -3.48608556892273036 50.90201426517477046, -3.48577266874879577 50.90234366521826814),(-3.48629816908993417 50.90168516513460162, -3.48631396907573565 50.90172696513832307, -3.48629896904698766 50.90179146514532249))",Speed Limits-952
"MultiLineString ((-3.48552346883596842 50.90200716519213842, -3.48573626883400145 50.90210276519500354, -3.48599746897215557 50.9018512651610564, -3.4859899689842142 50.90181706515782878, -3.48585536898446202 50.90175656515604175, -3.4858026689709467 50.90176816515889868, -3.48552346883596842 50.90200716519213842),(-3.48567716903129021 50.9015478651405644, -3.48566756901483332 50.90158736514489846, -3.4856474689945407 50.90163226515008432, -3.48557096894864271 50.90172016516147835, -3.48536356885157605 50.90189136518551294, -3.48534956884245473 50.90191056518791868, -3.48535046883457067 50.9019332651902161, -3.48537226883364193 50.90194586519077546, -3.48552346883596842 50.90200716519213842))",Speed Limits-955
"MultiLineString ((-3.47794786698902225 50.90681766691538002, -3.47791616699723116 50.90675616693449257),(-3.47791616699723116 50.90675616693449257, -3.47795896700725216 50.90669806693907873, -3.47796186702194765 50.90660036695950907, -3.47810776708239056 50.90623886700652179, -3.47819106710124748 50.90614086700899321, -3.47819986710422135 50.9061242670104761),(-3.47819986710422135 50.9061242670104761, -3.47827006712721909 50.90599876702044924, -3.47829476714154362 50.90591566703150761, -3.47830466715476616 50.90583526704521944, -3.47829366717272759 50.90571766707111578))",Speed Limits-997
"MultiLineString ((-3.48043996749480611 50.90476226665835924, -3.48045166748843471 50.90479696665180853),(-3.48013486752868673 50.90447536677567797, -3.48023426752396992 50.90454046673954736, -3.48036266751319312 50.90464456669176485, -3.48040836750696325 50.90469226667405422, -3.48043996749480611 50.90476226665835924),(-3.47990696755847484 50.90422416687327711, -3.48001326755189933 50.90430656683111721, -3.48013486752868673 50.90447536677567797))",Speed Limits-998
"MultiLineString ((-3.48091266756919904 50.90459726653770645, -3.48080126754624164 50.90465936656499224, -3.480758067538825 50.9046769665759129, -3.48071576753691225 50.90466976658856169, -3.48047636755160683 50.90450726667211256, -3.48046686755602552 50.90448256667723115, -3.48048496756147063 50.90446416667361262, -3.4806205675894919 50.90438886664014007),(-3.48108576760527111 50.90450196649388204, -3.48091266756919904 50.90459726653770645),(-3.4812540676421988 50.90440476644998569, -3.48108576760527111 50.90450196649388204),(-3.48013486752868673 50.90447536677567797, -3.48035336756908187 50.90437256672159805),(-3.48141586767876632 50.9043099664064016, -3.4812540676421988 50.90440476644998569),(-3.48035336756908187 50.90437256672159805, -3.48048336759670551 50.9042969666897207),(-3.48163446772706964 50.90419136634482555, -3.48152426770321677 50.9042483663763079, -3.48141586767876632 50.9043099664064016),(-3.48048336759670551 50.9042969666897207, -3.48065686763337112 50.90420046664535647),(-3.48179376776550598 50.90409496629865771, -3.48163446772706964 50.90419136634482555),(-3.48065686763337112 50.90420046664535647, -3.48082476767086879 50.90410146660131829),(-3.48199646780486471 50.90401516623692402, -3.48193766779257396 50.90404156625491794, -3.48179376776550598 50.90409496629865771),(-3.48082476767086879 50.90410146660131829, -3.48090036768677358 50.90406246658055522),(-3.48090036768677358 50.90406246658055522, -3.48098736770626038 50.90401316655664488),(-3.48216406784557098 50.90391926618507057, -3.48205936781956238 50.90398116621760494, -3.48199646780486471 50.90401516623692402),(-3.48098736770626038 50.90401316655664488, -3.48105206772181353 50.90397236653883084, -3.48120496775587274 50.90388996649493691),(-3.48171346787767844 50.90359906634087395, -3.48183146790671838 50.90353266630305029, -3.48187786791438114 50.90352216628755855, -3.48191616791566183 50.903534166274234, -3.48229316788947241 50.9037984661443943, -3.48230856788504761 50.90382186613918947, -3.48229356787680144 50.90384806614392232, -3.48216406784557098 50.90391926618507057),(-3.48120496775587274 50.90388996649493691, -3.48136436779322977 50.90379886644818441),(-3.48136436779322977 50.90379886644818441, -3.48153606783447822 50.90369996639626748),(-3.48153606783447822 50.90369996639626748, -3.48171346787767844 50.90359906634087395))",Speed Limits-999
