UniqueID,District,Entity Type,WKT
3197-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.7082467745457546 50.4324431152486952, -3.7088926730770604 50.4324977584033789))"
3198-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.7088926730770604 50.4324977584033789, -3.7090956955359751 50.4324930674372425))"
3199-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.7090956955359751 50.4324930674372425, -3.7099497180844598 50.4324735038819227))"
3200-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.7099497180844598 50.4324735038819227, -3.710419266287833 50.4324406091486921))"
3201-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.710419266287833 50.4324406091486921, -3.7108886730514716 50.4324077145988525))"
3202-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.7108886730514716 50.4324077145988525, -3.710867872370585 50.4322681619700504))"
3203-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.710867872370585 50.4322681619700504, -3.7108530392094927 50.4321686893064793))"
3204-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.7082467745457546 50.4324431152486952, -3.7072377136925687 50.4322237191522902, -3.7055674661358387 50.4318029390714528))"
3205-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.7095289259292725 50.4335471511435216, -3.7100891623556653 50.4335143220138704, -3.710229533148389 50.4340335583447015, -3.7104285404535742 50.4342299436277131, -3.7110150154829165 50.4344362810114433, -3.7112692723414584 50.4344776024306682, -3.7115834668526122 50.4343671896488104))"
3206-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.6927033210613964 50.4298411415041485, -3.6924548316527406 50.4296526861257846))"
3207-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.6924548316527406 50.4296526861257846, -3.6922997686280725 50.4297424543221524))"
3208-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.6922997686280725 50.4297424543221524, -3.69214456428266 50.4298322243639348))"
3209-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.69214456428266 50.4298322243639348, -3.6920788747153881 50.4298814780901736))"
3210-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.6920788747153881 50.4298814780901736, -3.6920133225388612 50.4299306398393696))"
3211-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.6920133225388612 50.4299306398393696, -3.6916407314151201 50.4298904574323217))"
3212-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.6916407314151201 50.4298904574323217, -3.691268000165838 50.4298502758698248))"
3213-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.691268000165838 50.4298502758698248, -3.691281595785918 50.4296825179121342))"
3214-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.691281595785918 50.4296825179121342, -3.6912950505939657 50.4295147619949802))"
3215-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.6912950505939657 50.4295147619949802, -3.6912619370398141 50.4293559575792685))"
3216-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.6912619370398141 50.4293559575792685, -3.6912349434834759 50.4292266548280494))"
3217-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.6912349434834759 50.4292266548280494, -3.6912121727692635 50.4291170777387023))"
