UniqueID,District,Entity Type,WKT
15399-SDVN_C_O_296_92,Teignbridge,Bus Routes,"MultiLineString ((-3.5183135376826513 50.6923993287309216, -3.5185312324902722 50.6923403729014623))"
15400-SDVN_C_O_296_92,Teignbridge,Bus Routes,"MultiLineString ((-3.5185312324902722 50.6923403729014623, -3.5190156948193443 50.6922514086901757))"
15401-SDVN_C_O_296_92,Teignbridge,Bus Routes,"MultiLineString ((-3.5190156948193443 50.6922514086901757, -3.5195000134582362 50.6921624441316112))"
15402-SDVN_C_O_296_92,Teignbridge,Bus Routes,"MultiLineString ((-3.5195000134582362 50.6921624441316112, -3.5203378837409578 50.6919558170656828))"
15403-SDVN_C_O_296_92,Teignbridge,Bus Routes,"MultiLineString ((-3.5203378837409578 50.6919558170656828, -3.5211756051482483 50.6917491860043796))"
15404-SDVN_C_O_296_92,Teignbridge,Bus Routes,"MultiLineString ((-3.5211756051482483 50.6917491860043796, -3.5217538582906607 50.6915706698824451))"
15405-SDVN_C_O_296_92,Teignbridge,Bus Routes,"MultiLineString ((-3.5217538582906607 50.6915706698824451, -3.5223319655455647 50.6913921528471434))"
15406-SDVN_C_O_296_92,Teignbridge,Bus Routes,"MultiLineString ((-3.5223319655455647 50.6913921528471434, -3.5223882266240363 50.6913709199072002))"
15424-SDVN_C_O_296_92,Teignbridge,Bus Routes,"MultiLineString ((-3.5337926020901409 50.7015821819529791, -3.5339027987641516 50.700949189648675, -3.5336182965951655 50.7002634983503668, -3.5335726955253666 50.7000811719806492, -3.5333635876071066 50.7000479499691181, -3.5301828856792317 50.6976075717782777, -3.5297849230647267 50.6971271513630484, -3.529723911904751 50.6968188478749298, -3.5297425698630551 50.6966960223854315, -3.5295672232694795 50.6966684659603359, -3.5289715360593132 50.6964992927801319, -3.52770614619965 50.695848126739584, -3.5269788836277876 50.6953113079510871, -3.5261139152403373 50.6948369939653247, -3.5256807090178013 50.694141178773485, -3.5254169093261982 50.6938658359295573, -3.5247204935923953 50.6933746457620344, -3.5238557426121955 50.6928789978964076, -3.5231387852522964 50.6926005819119041, -3.5224108864653045 50.6924212323006174, -3.521476233507228 50.6924154532868414, -3.5206296950515976 50.6925074446802881, -3.5191989100216809 50.692921818777414, -3.5188309382296041 50.6929266157226266, -3.5184005476413236 50.6927523562725568, -3.5181374260215272 50.6926717860468727))"
15459-SDVN_FAL_I_359_174,Teignbridge,Bus Routes,"MultiLineString ((-3.6535708913599798 50.564702397923142, -3.6532756871457805 50.5649983021569369, -3.6530998025210923 50.5656213689512057, -3.6477705522200434 50.5699060342893816, -3.6434163122489767 50.5742772529392894, -3.6397425878864489 50.5772352503603742, -3.6396736140630361 50.5775592767803275, -3.6380952494013896 50.5794531651971511, -3.6383878172454973 50.5795602151747019, -3.634107025417475 50.5827525723349893, -3.6327381563371435 50.5835425184385628, -3.6316179340595451 50.5851312047024138, -3.6283989773950909 50.586323632101049, -3.6263590195354887 50.5877076397430159, -3.6234765080455698 50.5885904367172969, -3.6200162189056218 50.5902716451527255, -3.6178095353574991 50.5923961930843973, -3.6166078041386567 50.5939598569376585, -3.6161968102878079 50.5947480010969031, -3.611921913253811 50.5961384150817324, -3.6092421226073235 50.5975144028876045, -3.607627183546954 50.5981316087704869, -3.6064965604526562 50.5991253392169185, -3.6039118136041277 50.6024453049357419, -3.6023167362432309 50.6038410995091965, -3.5992231769555283 50.6054429689246561, -3.5976700067613931 50.6065518562048524, -3.5948618228509455 50.6077047844201005, -3.5934031440171239 50.60928961297423, -3.5921641945209224 50.6102688515084012, -3.5913893104959236 50.6114559723211315, -3.5897536891187625 50.6129728385657813, -3.5882698408133695 50.6138204688760567, -3.5858509831952605 50.6158679536907812, -3.5844011226553305 50.6177313475355817, -3.5818930428152025 50.6226907337181942, -3.5811131827906157 50.6263722156037375, -3.5803205916286434 50.6273381658351553, -3.5775587576036316 50.6290461147247726, -3.5766503750702756 50.6294709341421196, -3.5749857888586991 50.6299043431948022, -3.5740015504811002 50.6300363469291881, -3.5706091368538826 50.6301761590176795, -3.5697660722556197 50.6303359040029406, -3.5684306878642267 50.630785561686686, -3.5675002586716165 50.6312949676157018, -3.5667558468111933 50.6319772439939157, -3.5657337779143035 50.6335810350575954, -3.5650251114110798 50.6356941359577775, -3.5632200594666896 50.6381216972020951, -3.5614439387712791 50.642097076091936, -3.5603852261104776 50.6434306918531831, -3.5591335920329192 50.6442537107108706, -3.5577498195291448 50.6448462708033631, -3.5559611094076131 50.6452906133082053, -3.5493385841563629 50.6456306797077573, -3.5475263308634206 50.6458998436333516, -3.546608091646557 50.6461503668488575, -3.5452987624866972 50.6466601375916667, -3.543970148271153 50.6474109042822391, -3.5427111622353857 50.6485223607100039, -3.5421086112049638 50.6493442483411087, -3.5417040627287713 50.6503816037358092, -3.5413367406145939 50.6542851366902553, -3.540948130691234 50.6555605153641935, -3.5387462948281594 50.6593630947088442, -3.5384804551190054 50.6604714566964418, -3.5384933457094849 50.6621424585659312, -3.5392101922686172 50.6653055377804336, -3.5392311203809848 50.6671174503129365, -3.538958014809479 50.6682857189352589, -3.5375487248570394 50.6708415768828928, -3.5341776125059794 50.6744492460244516, -3.532126697347449 50.6782865802074909, -3.5315712604326897 50.6800157704192884, -3.531486251281152 50.6810042810385184, -3.5322337942038482 50.6824424048956317, -3.5322807174023851 50.6829049516180206, -3.5320120845111695 50.6837839073756058, -3.5309856496641232 50.6852713329112916, -3.5277697144468889 50.6889608328067141, -3.5270921886892674 50.6893896179696242, -3.5223882266240363 50.6913709199072002))"
15467-SDVN_FAL_I_359_174,Teignbridge,Bus Routes,"MultiLineString ((-3.8005169987321987 50.4320070250773256, -3.8032836035666246 50.4333207490447748, -3.8033845858572963 50.4334916919572223, -3.8036523202636774 50.4334965360371257, -3.8034754859795754 50.4338901635131478, -3.8030382231405442 50.4342083203603266, -3.8011285052975201 50.4344102281368833, -3.8002909556430491 50.434875420158761, -3.7969384654166296 50.4397190036743339, -3.7965655953271007 50.4412868762225699, -3.796544093793131 50.4427466106527476, -3.7963620162140987 50.44337641061189, -3.7956227061911432 50.4446530423382029, -3.7943750696626148 50.4459682695055776, -3.7928261030146588 50.4472619528352197, -3.7920884982905076 50.4482968594311458, -3.7906369955722679 50.4525989320222195, -3.7907278067389432 50.4585437103136627, -3.789768495977536 50.4649484966175805, -3.7890211474393602 50.4678557631219391, -3.7878283870203289 50.4701874004118451, -3.7828899487081404 50.476686457811752, -3.7817882528931506 50.4776107508406184, -3.7807783814387355 50.4782152361336358, -3.7789427698529265 50.4789279477003561, -3.7747551272010114 50.4797639521302486, -3.7733453110501212 50.4802085319825977, -3.7723060459192901 50.4807060035781063, -3.7710277228347837 50.4816229952233897, -3.7702709149814497 50.482468451116695, -3.7697642351817295 50.4834143404027742, -3.7687715732019602 50.4876488589090258, -3.7681590607064903 50.4892139759347032, -3.7661649915873658 50.4923754740130875, -3.7657300964094662 50.493345700637434, -3.7655513327680041 50.4944396666191864, -3.7657529051577994 50.4959023763850112, -3.7660889420448611 50.4967353470555409, -3.7679050052928851 50.4997789836605193, -3.7682260502682454 50.5013907869410232, -3.7681377993001677 50.5023320057089222, -3.7677069499456937 50.5035439338778502, -3.7669043445031929 50.5047071792288094, -3.765836995022291 50.5057119136066319, -3.7641556862237127 50.5068266790587259, -3.7585424951579873 50.5090558039921547, -3.7574042096663165 50.5096388988734404, -3.7563212807809583 50.5103880751664747, -3.7519452862001264 50.5144922289896812, -3.7484292216452419 50.5174393491978506, -3.7472895484476592 50.5182190593132674, -3.7283167995212567 50.5290715908944534, -3.7218507989331209 50.5316060111414629, -3.7056372688886179 50.5406857627009529, -3.7043525542068694 50.5412195656481273, -3.7024267252437855 50.5417916002162571, -3.6963556056647504 50.5428486667719383, -3.6944788959851227 50.5432675857782243, -3.693319794688815 50.5436607515966543, -3.6924937333002821 50.5440684924049819, -3.6913428397971653 50.5449171495423641, -3.6886395120631521 50.5482594783573305, -3.6875600459867868 50.5492275796448425, -3.6847684616579635 50.5509707231419014, -3.68319950145673 50.5516432147543213, -3.678020908975312 50.5531178340828333, -3.6763958736082696 50.5537105464941305, -3.6610181195261489 50.5611062979322625, -3.6550030911560123 50.5643262271162186, -3.6535708913599798 50.564702397923142))"
