UniqueID,District,Entity Type,WKT
39420-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.4777433892805747 50.916062848218985, -3.4775756199507177 50.916070549496574))"
39421-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.4775756199507177 50.916070549496574, -3.4773045453838134 50.91605959448448))"
39422-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.4773045453838134 50.91605959448448, -3.4770334680842838 50.9160485489484458))"
39423-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.4770334680842838 50.9160485489484458, -3.4770618298813023 50.9156278536655122))"
39424-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.4770618298813023 50.9156278536655122, -3.4770901940938335 50.9152072482399589))"
39425-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.4770901940938335 50.9152072482399589, -3.4770815321947666 50.9151448560981592))"
39426-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.4770815321947666 50.9151448560981592, -3.4770728703205407 50.9150824639551161))"
39427-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.4770728703205407 50.9150824639551161, -3.4770484705273459 50.9149543519154975))"
39428-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.4770484705273459 50.9149543519154975, -3.4770240708749802 50.91482623986834))"
39429-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.4770240708749802 50.91482623986834, -3.476949691515673 50.9147595539301037))"
39430-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.476949691515673 50.9147595539301037, -3.4768754545717391 50.9146928661433833))"
39431-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.4768754545717391 50.9146928661433833, -3.4767505935972762 50.9146133297319139))"
39432-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.4767505935972762 50.9146133297319139, -3.4766257302017904 50.9145337032919727))"
39433-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.4766257302017904 50.9145337032919727, -3.4765750859043769 50.9145022392381605))"
39434-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.4765750859043769 50.9145022392381605, -3.476524296627975 50.9144706870679897))"
39435-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.476524296627975 50.9144706870679897, -3.4762952849888897 50.9143276286922557))"
39436-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.4762952849888897 50.9143276286922557, -3.4762685934869304 50.9142933432428393))"
39437-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.4762685934869304 50.9142933432428393, -3.4760995577071503 50.9140765015677488))"
39438-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.4760995577071503 50.9140765015677488, -3.4758682542412371 50.9140497517875232))"
39439-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.4758682542412371 50.9140497517875232, -3.4757668648804732 50.9140380263408332))"
39440-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.4797789324732467 50.9123707162328643, -3.4798644227666493 50.9126914282031038, -3.4800183976369947 50.9130339992246164, -3.4803742421149013 50.9133542814238567))"
39441-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.4878151934665182 50.90250246690794, -3.4874962427200735 50.9025699744660187, -3.4872411387374327 50.9026650495982622, -3.4863014573691786 50.9030843342451362))"
39442-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.4863014573691786 50.9030843342451362, -3.4861139590051038 50.9030828580837067))"
39443-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.4861139590051038 50.9030828580837067, -3.4859263213425331 50.9030814733280437))"
39444-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.4859263213425331 50.9030814733280437, -3.4853115669811392 50.9031688981927743))"
39445-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.4853115669811392 50.9031688981927743, -3.4846966680929237 50.9032563216387359))"
39446-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.4846966680929237 50.9032563216387359, -3.4843709199518256 50.9033038165941107))"
39447-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.4843709199518256 50.9033038165941107, -3.4840450317276148 50.9033514016414728))"
39448-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.4840450317276148 50.9033514016414728, -3.4845655302201672 50.9040653027779157, -3.4848763312409123 50.9046122412191693))"
39449-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.496089547924448 50.8947279720223875, -3.4960529423380056 50.8945539457705109))"
39450-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.4960529423380056 50.8945539457705109, -3.4962208847586238 50.8942258773670773))"
39451-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.4962208847586238 50.8942258773670773, -3.4962373631972019 50.8942164927702194))"
39452-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.4962373631972019 50.8942164927702194, -3.4966577935189402 50.8939755630141519))"
39453-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.4966577935189402 50.8939755630141519, -3.496879723457893 50.8939699247242956))"
39454-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.496879723457893 50.8939699247242956, -3.4971016533340267 50.8939642860126327))"
39455-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.4971016533340267 50.8939642860126327, -3.4971612168621529 50.8939681972568181))"
39456-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.4971612168621529 50.8939681972568181, -3.4972207775162225 50.8939720185759157))"
39457-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.4972207775162225 50.8939720185759157, -3.4974989547847608 50.8940043270745193))"
39458-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.4974989547847608 50.8940043270745193, -3.4977769874046385 50.8940365468404465))"
39459-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.4977769874046385 50.8940365468404465, -3.4978053441820185 50.8940428373304172))"
39460-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.4978053441820185 50.8940428373304172, -3.4978337038516303 50.8940492177080586))"
39461-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.4978337038516303 50.8940492177080586, -3.4979647892522965 50.8940840450805041))"
39462-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.4979647892522965 50.8940840450805041, -3.498095732708983 50.8941188741318982))"
39463-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.498095732708983 50.8941188741318982, -3.4981169913234136 50.8941255255891321))"
