UniqueID,District,Entity Type,WKT
2263-TAWT_31_O_252_147,North Devon,Bus Routes,"MultiLineString ((-4.1695342281241574 51.1748950424397293, -4.1694354808025116 51.1748944468030587))"
2264-TAWT_31_O_252_147,North Devon,Bus Routes,"MultiLineString ((-4.1694354808025116 51.1748944468030587, -4.1686255936873291 51.1747001953797209))"
2265-TAWT_31_O_252_147,North Devon,Bus Routes,"MultiLineString ((-4.1686255936873291 51.1747001953797209, -4.1678155703669377 51.1745059408878475))"
2266-TAWT_31_O_252_147,North Devon,Bus Routes,"MultiLineString ((-4.1678155703669377 51.1745059408878475, -4.1675375669804682 51.1745574123186842))"
2267-TAWT_31_O_252_147,North Devon,Bus Routes,"MultiLineString ((-4.1675375669804682 51.1745574123186842, -4.1672963931020623 51.1746895014864194))"
2268-TAWT_31_O_252_147,North Devon,Bus Routes,"MultiLineString ((-4.1672963931020623 51.1746895014864194, -4.1671385853659189 51.1748206742839642))"
2269-TAWT_31_O_252_147,North Devon,Bus Routes,"MultiLineString ((-4.1671385853659189 51.1748206742839642, -4.1666129720952068 51.1752576979426479))"
2270-TAWT_31_O_252_147,North Devon,Bus Routes,"MultiLineString ((-4.1666129720952068 51.1752576979426479, -4.1663117207310485 51.1754970217822631))"
2271-TAWT_31_O_252_147,North Devon,Bus Routes,"MultiLineString ((-4.1663117207310485 51.1754970217822631, -4.1660104626231966 51.1757362543689283))"
2272-TAWT_31_O_252_147,North Devon,Bus Routes,"MultiLineString ((-4.1660104626231966 51.1757362543689283, -4.1656805784995541 51.175932578018994))"
2273-TAWT_31_O_252_147,North Devon,Bus Routes,"MultiLineString ((-4.1656805784995541 51.175932578018994, -4.165298034582797 51.1760616156936408))"
2274-TAWT_31_O_252_147,North Devon,Bus Routes,"MultiLineString ((-4.165298034582797 51.1760616156936408, -4.1650148761754613 51.1761010352927883))"
2275-TAWT_31_O_252_147,North Devon,Bus Routes,"MultiLineString ((-4.1650148761754613 51.1761010352927883, -4.1638641878730391 51.1762612893530218))"
2276-TAWT_31_O_252_147,North Devon,Bus Routes,"MultiLineString ((-4.1638641878730391 51.1762612893530218, -4.163763416729358 51.1762616221050592))"
2277-TAWT_31_O_252_147,North Devon,Bus Routes,"MultiLineString ((-4.1326907888027371 51.1794989044076729, -4.1318808010073376 51.1794573744202026))"
2278-TAWT_31_O_252_147,North Devon,Bus Routes,"MultiLineString ((-4.1318808010073376 51.1794573744202026, -4.1317398132380179 51.1794594055654315))"
2279-TAWT_31_O_252_147,North Devon,Bus Routes,"MultiLineString ((-4.1317398132380179 51.1794594055654315, -4.131598682486552 51.1794614391474667))"
2280-TAWT_31_O_252_147,North Devon,Bus Routes,"MultiLineString ((-4.131598682486552 51.1794614391474667, -4.1315746260335802 51.1795075643866966))"
2281-TAWT_31_O_252_147,North Devon,Bus Routes,"MultiLineString ((-4.1315746260335802 51.1795075643866966, -4.1315507124975754 51.1795536870153072))"
